Code,Subgroup,STEDT,Cog_ID,Language,Degree,Cluster
fl01,Central Loloish,1019,0,Lahu_Lancang ,5,1
fl02,Northern Loloish,1019,0,Yi_Nanhua,4,2
fl03,Kiranti,1019,3525,Bahing,3,3
fl04,Southern Loloish,1019,0,Hani_Luchun,4,1
fl05,Burmish,1019,3525,Old_Burmese,6,1
fl06,Northern Loloish,N/A,0,Yi_Weishan,3,2
fl07,Southern Loloish,1019,0,Hani_Mojiang,6,1
fl08,Burmish,2658; 1019,3525,Burmese(Rangoon),6,1
fl09,Central Loloish,1019,0,Yi_Sani,5,2
fl10,Tibetan,1019;2658;2071,817,Old_Tibetan,5,4
fl11,Central Loloish,N/A,0,Jinuo,3,1
fl12,Naxi,N/A,1721,Naxi,4,3
fl13,Kham-Magar-Chepang,N/A,3818,Chepang,6,3
fl14,Kiranti,1019,3525,Bantawa,3,3
fl15,Northern Loloish,2658,0,Yi_Xide,4,4
fl16,Tibetan,2658; N/A,817,Tibetan_Batang,5,4
fl17,Tibetan,2658; N/A,817,Tibetan_Lhasa,7,4
fl18,Burmish,1019,3525,Zaiwa(Atsi),7,2
fl19,Jingpho,1019,3525,Jingpho,4,1
fl20,Tujia,N/A,1724,Tujia,3,3
fl21,Central Loloish,2658; 1019,3525,Lisu,5,2
fl22,Bodic,1019,3525,Motuo_Menba,4,3
fl23,Tangkhul,1019,3525,Ukhrul,3,3
fl24,Qiangic,2658; 1019,1720,Lyuzu,3,4
fl25,Burmish,N/A,3525,Bola(Luxi),5,2
fl26,Kuki-Chin,N/A,3525,Hakha_Chin,5,3
fl27,Kiranti,1019,3525,Hayu,4,3
fl28,Kiranti,1019,3525,Limbu,8,3
fl29,Deng,N/A,3525,Yidu,8,1
fl30,Bodo-Garo,1019,3944,Garo,3,5
fl31,Qiangic,N/A,0,Queyu_Xinlong,4,5
fl32,Qiangic,1019,1720,Qiang_Mawo,5,5
fl33,Burmish,N/A,3525,Achang_Longchuan,6,2
fl34,unknown,1019; 2071,3525,Lushai,4,3
fl35,Burmish,1019,3525,Maru,4,2
fl36,Deng,N/A,320,Darang_Taraon,3,5
fl37,Western Tani,1654,320,Tani_Bokar,3,5
fl38,Tibetan,2658; N/A,817,Tibetan_Xiahe,3,2
fl39,Qiangic,N/A,1725,Pumi_Lanping,3,5
fl40,Burmish,N/A,3525,Achang(Xiandao),13,1
fl41,Nungic,2658; 1019,3525,Dulong,4,5
fl42,rGyalrongic,N/A,4805,Tangut,3,3
fl43,Northern Loloish,1019,0,Nusu_Central,14,2
fl44,rGyalrong,N/A,817,rGyalrong_Maerkang,5,4
fl45,Kiranti,1019,3525,Kulung,9,3
fl46,Kiranti,N/A,3525,Thulung,5,3
fl47,Qiangic,N/A,0,Namuyi,7,5
fl48,Qiangic,1019,0,Pumi_Jiulong,7,5
fl49,Bai,N/A,1716,Bai_Jianchuan,19,5
fl50,Mikir,1019,3525,Mikir(Karbi),16,3
fl51,Qiangic,N/A,3525,Zhaba_Daofu_County,14,3
fl52,rGyalrongic,N/A,4805,Japhug,8,4
