Code,Abbreviated,Category,Degree,Cluster
f001,apple(.),fruit,3,1
f002,ankle,body part,12,1
f003,arm,body part,4,2
f004,bear fruit,process,4,3
f005,bladder,body part,10,1
f006,boat,wood,2,4
f007,branch(.),plant,4,2
f008,brothers,human,9,5
f009,buckwheat(.),seed,4,1
f010,bud,plant,5,5
f011,building,miscellaneous,3,2
f012,bullet,small inani,5,3
f013,button,small inani,8,4
f014,carpenter,human,5,2
f015,charcoal,small inani,9,1
f016,chestnut,fruit,6,4
f017,pepper(.),fruit,3,3
f018,CL: eggs,CL,11,4
f019,CL: grain(.),CL,3,1
f020,CL: mw(.),CL,4,4
f021,CL:stones(.),CL,14,4
f022,CL:bowls,CL,6,4
f023,CL:fb(.),CL,3,4
f024,claw(.),body part,4,1
f025,coal(.) ,small inani,3,1
f026,comb,small inani,5,5
f027,crops,plant,3,3
f028,crupper-strap,small inani,3,4
f029,cucumber,fruit,10,5
f030,ear,body part,8,5
f031,eye,body part,3,6
f032,fabric(.),small inani,2,5
f033,fig(.),fruit,11,5
f034,finger,body part,6,4
f035,fingernail,body part,10,1
f036,firewood,wood,11,2
f037,fist,body part,5,3
f038,flower,plant,4,2
f039,foodstuff(.),seed,5,1
f040,forest,plant,4,2
f041,fruit,fruit,6,3
f042,gall,body part,2,4
f043,god(.),human,3,2
f044,gold,small inani,4,6
f045,good,process,3,1
f046,grape,fruit,4,3
f047,grass ,plant,3,5
f048,grind(.),process,11,6
f049,gruel,seed,5,2
f050,hail,small inani,3,3
f051,hear(.),process,4,6
f052,heart,body part,4,6
f053,host,human,7,1
f054,key,small inani,3,3
f055,kidney,body part,6,4
f056,know(.),process,7,6
f057,lime,fruit,3,5
f058,liver,body part,8,1
f059,lock (N),small inani,3,4
f060,locust,small ani,5,6
f061,corn(.),seed,3,2
f062,mango,fruit,5,5
f063,melon(.),fruit,7,3
f064,mole,body part,9,6
f065,navel,body part,8,6
f066,nipple,body part,3,6
f067,nit,body part,5,6
f068,seed(.),seed,3,3
f069,olive(.),fruit,3,3
f070,bean(.),fruit,3,4
f071,peach,fruit,12,3
f072,peanut,fruit,4,1
f073,pear,fruit,15,3
f074,pelvis(.),body part,3,5
f075,persimmon,fruit,8,3
f076,pine(.),plant,9,2
f077,stone(.),small inani,3,1
f078,plane(.),wood,7,2
f079,plank(.),wood,9,2
f080,plant,plant,9,5
f081,"plantain(.)	",fruit,8,5
f082,pomegranate,fruit,4,2
f083,poor,process,3,3
f084,porcupine,small ani,4,5
f085,pumpkin,fruit,10,3
f086,recognize,process,6,6
f087,rice(.),seed,7,3
f088,ripe(.),process,3,2
f089,sand,small inani,3,6
f090,sesame,seed,8,4
f091,sorghum,seed,4,3
f092,soya bean,fruit,8,4
f093,sugarcane,plant,10,2
f094,tangerine,fruit,9,3
f095,testicle,body part,4,1
f096,throat,body part,3,1
f097,tree,plant,4,5
f098,uvula,body part,3,6
f099,vegetable,plant,6,3
f100,walnut,fruit,14,3
f101,wedge,wood,4,2
f102,whet(.),process,6,6
f103,wood(.),wood,6,2
f104,yoke,wood,9,2
