Code,Subgroup,STEDT,Cog_ID,Language,Degree,Cluster
sl01,Central Loloish,1269,3582,Lisu,3,1
sl02,rGyalrongic,N/A,3598,Daofu,3,1
sl03,Western Tani,1269,81,Bokar,4,2
sl04,Nungic,1269,81,Dulong,5,1
sl05,Burmish,1269,1078,Old_Burmese,4,3
sl06,Tibetan,N/A,2631,Tibetan_Written,5,4
sl07,Bai,N/A,3742,Bai_Jianchuan,3,1
sl08,Kiranti,1269,81,Thulung,3,1
sl09,Qiangic,N/A,3594,Zhaba_Daofu_County,3,4
sl10,Karenic,1269,0,Karen,6,1
sl11,Central Loloish,1269,0,Jinuo,3,5
sl12,Northern Loloish,1269,0,Yi_Nanhua,5,1
sl13,Kiranti,1269,81,Limbu,3,2
sl14,Central Loloish,2166,0,Lahu_Lancang,5,1
sl15,Kiranti,1269,81,Bantawa,6,2
sl16,unknown,1269,81,Lushai,9,2
sl17,Mikir,1269,81,Mikir,3,5
sl18,Burmish,1269,1078,Rangoon,5,3
sl19,Qiangic,1269,3745,Lyuzu,7,4
sl20,Naxi,1269,3745,Naxi,3,4
sl21,Northern Loloish,1269; 297,0,Gazhuo,3,2
sl22,Southern Loloish,1269; 2166,0,Hani_Luchun,4,5
sl23,Nungic,1269,0,Nung,3,1
sl24,Tibetan,N/A; 2166,3156,Tibetan_Batang,3,3
sl25,Tibetan,N/A,3156,Tibetan_Xiahe,5,4
sl26,Northern Loloish,N/A,0,Yi_Weishan,6,1
sl27,Northern Loloish,1269,0,Yi_Xide,6,1
sl28,Central Loloish,1269,0,Yi_Sani,7,1
sl29,Kiranti,1269,81,Hayu,8,4
sl30,Kiranti,1269,81,Kulung,6,4
sl31,Bodic,1269,81,Motuo_Menba,7,4
sl32,Bodo-Garo,1269,81,Rabha,3,2
sl33,Qiangic,1269,3743,Qiang_Mawo,4,4
sl34,Kiranti,1269,81,Bahing,3,4
sl35,Kuki-Chin,N/A,81,Hakha_Chin,6,2
sl36,Jingpho,1269,81,Jingpho,11,1
sl37,Tibetan,N/A,3156,Tibetan_Lhasa,7,4
sl38,Chin,1269,3739,Hakha(Lai),8,2
sl39,Tujia,1269; 2166,3741,Tujia,3,5
sl40,Burmish,1269,10317,Achang_Longchuan,3,5
sl41,Deng,1269,0,Kaman_Miju,3,4
sl42,Qiangic,1269,0,Namuyi,3,4
sl43,Tangkhul,1269,81,Ukhrul,9,2
sl44,Burmish,1269,874,Maru,10,5
sl45,Tibetan,N/A,3156,Tibetan_Alike,21,1
sl46,rGyalrongic,1269,3594,rGyalrong_Maerkang,18,4
sl47,Qiangic,1269,4739,Xumi,4,4
sl48,Deng,1269,10580,Darang_Taraon,3,2
sl49,rGyalrongic,1269,10582,Tangut,5,5
sl50,Burmish,1269,874,Atsi,17,5
sl51,Burmish,1269,874,Bola(Luxi),10,5
sl52,Qiangic,1269,0,Pumi_Jiulong,5,3
sl53,Bodo-Garo,1269,81,Garo,4,1
